temps_s,tension_V,courant_A
123877.14490503566,4.076827049255371,-0.5496563911437988
123907.16005875918,4.044125556945801,-0.5496563911437988
123937.17523453264,4.030688762664795,-0.5496563911437988
123967.19055355816,4.021137237548828,-0.5496563911437988
123997.205624766,4.014175891876221,-0.5496563911437988
124027.22078606338,4.008347511291504,-0.5496563911437988
124057.23594589712,4.003167152404785,-0.5496563911437988
124087.25112648256,3.9983105659484863,-0.5496563911437988
124117.26631286248,3.9937775135040283,-0.5496563911437988
124147.28147739792,3.9890828132629395,-0.549837589263916
124177.29665238946,3.9848735332489014,-0.5496563911437988
124207.31184253877,3.9808263778686523,-0.5496563911437988
124237.3281176822,3.9767792224884033,-0.5496563911437988
124267.3293559892,3.972893714904785,-0.5496563911437988
124297.34178876126,3.968684673309326,-0.5496563911437988
124327.35692015912,3.964799165725708,-0.5496563911437988
124357.3721064438,3.960913896560669,-0.5494751930236816
124387.3873130942,3.95719051361084,-0.5496563911437988
124417.40258282184,3.9531431198120117,-0.5500187873840332
124447.41762997472,3.9494197368621826,-0.5494751930236816
124477.43280947248,3.9455342292785645,-0.5500187873840332
124507.44814285375,3.9416489601135254,-0.549837589263916
124537.46317385642,3.9380874633789062,-0.5496563911437988
124567.4783692187,3.934525728225708,-0.5496563911437988
124597.4935470072,3.930478572845459,-0.549837589263916
124627.50871397372,3.9269168376922607,-0.5500187873840332
124657.5238919176,3.9233553409576416,-0.549837589263916
124687.53927736865,3.9196319580078125,-0.549837589263916
124717.5542319408,3.9159083366394043,-0.5496563911437988
124747.56939515796,3.912508726119995,-0.5496563911437988
124777.5845620894,3.908623456954956,-0.5494751930236816
124807.59975296551,3.905061721801758,-0.5496563911437988
124837.61506141465,3.9013383388519287,-0.549837589263916
124867.63011259258,3.8979387283325195,-0.549837589263916
124897.645275915,3.894700765609741,-0.5494751930236816
124927.66045237018,3.890815496444702,-0.5500187873840332
124957.67563970746,3.887253761291504,-0.5500187873840332
124987.69082315506,3.8836922645568848,-0.5496563911437988
125017.70601394091,3.8802926540374756,-0.5494751930236816
125047.72116974964,3.8767309188842773,-0.5496563911437988
125077.73634387902,3.873331308364868,-0.549837589263916
125107.75153289048,3.869931697845459,-0.549837589263916
125137.7668212696,3.8665318489074707,-0.5496563911437988
125167.78188846743,3.8629703521728516,-0.5496563911437988
125197.79705739886,3.8595707416534424,-0.549837589263916
125227.8124560528,3.856170892715454,-0.5496563911437988
125257.82742139182,3.852933168411255,-0.5496563911437988
125287.842673691,3.8495335578918457,-0.549837589263916
125317.85777739483,3.8459718227386475,-0.549837589263916
125347.87296913812,3.8427340984344482,-0.549837589263916
125377.8883989798,3.839658260345459,-0.549837589263916
125407.903319858,3.8362584114074707,-0.5496563911437988
125437.91863833713,3.8328588008880615,-0.5500187873840332
125467.93370003629,3.8299448490142822,-0.5496563911437988
125497.94897118246,3.826706886291504,-0.5494751930236816
125527.9644472744,3.8234691619873047,-0.5496563911437988
125557.9792287602,3.8203933238983154,-0.5496563911437988
125587.99451831722,3.817155361175537,-0.549837589263916
125618.00956266314,3.814241409301758,-0.5496563911437988
125648.02491580366,3.8110036849975586,-0.5496563911437988
125678.03992987412,3.8079276084899902,-0.5496563911437988
125708.05511621892,3.804689884185791,-0.549837589263916
125738.0704252846,3.8016140460968018,-0.549837589263916
125768.08546909918,3.7986998558044434,-0.549837589263916
125798.10065567456,3.795785903930664,-0.5496563911437988
125828.11583741792,3.792710065841675,-0.549837589263916
125858.13102638426,3.7896339893341064,-0.549837589263916
125888.14619017788,3.786558151245117,-0.549837589263916
125918.16136457288,3.783644199371338,-0.5496563911437988
125948.17667912225,3.7808921337127686,-0.5494751930236816
125978.19184736192,3.77813982963562,-0.5500187873840332
126008.20690584808,3.775225877761841,-0.5496563911437988
126038.22221344008,3.7723119258880615,-0.5500187873840332
126068.23729415664,3.769397735595703,-0.5496563911437988
126098.25245291268,3.766645669937134,-0.5496563911437988
126128.26763539284,3.7638936042785645,-0.5496563911437988
126158.28283248948,3.760979413986206,-0.549837589263916
126188.29819597576,3.7582273483276367,-0.549837589263916
126218.30022655235,3.7556371688842773,-0.5496563911437988
126248.31295926197,3.752885103225708,-0.5496563911437988
126278.32792298192,3.7499709129333496,-0.5496563911437988
126308.34310154736,3.7475426197052,-0.5496563911437988
126338.35829710514,3.744790554046631,-0.5496563911437988
126368.37371062614,3.7420384883880615,-0.549837589263916
126398.38864366963,3.739448070526123,-0.5496563911437988
126428.40397216874,3.7368578910827637,-0.549837589263916
126458.41903789292,3.7344295978546143,-0.549837589263916
126488.43418506513,3.731839179992676,-0.5496563911437988
126518.44937299888,3.7292490005493164,-0.5496563911437988
126548.464553043,3.726820707321167,-0.5500187873840332
126578.47986462494,3.7243924140930176,-0.5496563911437988
126608.49491237936,3.721963882446289,-0.549837589263916
126638.51051675604,3.7195355892181396,-0.549837589263916
126668.52528318428,3.7171072959899902,-0.549837589263916
126698.54047134864,3.714679002761841,-0.549837589263916
126728.555643473,3.7125742435455322,-0.5496563911437988
126758.57082518628,3.710145950317383,-0.549837589263916
126788.58602254352,3.7080414295196533,-0.5496563911437988
126818.60120017162,3.705775022506714,-0.549837589263916
126848.61639136852,3.7035086154937744,-0.5500187873840332
126878.63154629002,3.701241970062256,-0.549837589263916
126908.6467434568,3.6991374492645264,-0.549837589263916
126938.66192517508,3.697356700897217,-0.5494751930236816
126968.67709606138,3.6950902938842773,-0.5500187873840332
126998.69227410048,3.6929855346679688,-0.549837589263916
127028.70747165324,3.691042900085449,-0.5496563911437988
127058.72266446416,3.6889383792877197,-0.549837589263916
127088.73808385982,3.6869957447052,-0.549837589263916
127118.75302060756,3.6850531101226807,-0.5496563911437988
127148.76819306276,3.683110237121582,-0.549837589263916
127178.78380559476,3.6811676025390625,-0.5496563911437988
127208.79868828776,3.679386854171753,-0.5496563911437988
127238.81377128,3.6774442195892334,-0.5496563911437988
127268.8289515246,3.675663471221924,-0.549837589263916
127298.84413073664,3.6738827228546143,-0.549837589263916
127328.85941368724,3.6721017360687256,-0.549837589263916
127358.87447383252,3.670159101486206,-0.5500187873840332
127388.88965148064,3.6683783531188965,-0.5500187873840332
127418.90500974897,3.666759490966797,-0.549837589263916
127448.92000378446,3.6651406288146973,-0.549837589263916
127478.93536688482,3.6633596420288086,-0.549837589263916
127508.95040441872,3.661740779876709,-0.5496563911437988
127538.96572726376,3.6601219177246094,-0.5494751930236816
127568.98076231653,3.6585030555725098,-0.5496563911437988
127598.99612365746,3.65688419342041,-0.5500187873840332
127629.01114343716,3.6551034450531006,-0.5496563911437988
127659.02632262412,3.653484344482422,-0.549837589263916
127689.04151494382,3.6520273685455322,-0.549837589263916
127719.05668655188,3.6504085063934326,-0.5496563911437988
127749.07185031543,3.648789644241333,-0.5496563911437988
127779.08703816902,3.6471707820892334,-0.549837589263916
127809.10225774664,3.6457138061523438,-0.549837589263916
127839.1174404123,3.644094705581665,-0.5500187873840332
127869.1327394229,3.6427996158599854,-0.5496563911437988
127899.14782684618,3.6415045261383057,-0.549837589263916
127929.16311043336,3.639885663986206,-0.5496563911437988
127959.17816193208,3.6385905742645264,-0.549837589263916
127989.19334588591,3.6371335983276367,-0.549837589263916
128019.208546381,3.635838508605957,-0.5496563911437988
128049.2238325045,3.6342194080352783,-0.549837589263916
128079.23891047924,3.6329243183135986,-0.549837589263916
128109.25412567094,3.631791114807129,-0.5496563911437988
128139.26946708724,3.630496025085449,-0.549837589263916
128169.26971326656,3.6290390491485596,-0.5496563911437988
128199.28434410688,3.62774395942688,-0.549837589263916
128229.29914605366,3.6264488697052,-0.5500187873840332
128259.31432965664,3.6253156661987305,-0.549837589263916
128289.329507796,3.6240203380584717,-0.549837589263916
128319.34485357316,3.622725248336792,-0.5496563911437988
128349.3599270918,3.6215920448303223,-0.549837589263916
